Car Name,Price,Dealer Name,Transmission Type,Drivetrain,Fuel Type,Rating,Reviews,Location,Mileage
2021 Mercedes-Benz Sprinter 2500 High Roof,"$42,995",Imperial Auto LLC,Automatic,Rear-Wheel Drive,Diesel,3.7,58 reviews,"Manassas, VA (52 mi.)","113,000 mi."
2018 Mercedes-Benz Sprinter 2500 High Roof,"$25,495",Imperial Auto LLC,Automatic,Rear-Wheel Drive,Diesel,3.7,58 reviews,"Manassas, VA (52 mi.)","100,396 mi."
2019 Mercedes-Benz Sprinter 2500 Standard Roof,"$32,995",Imperial Auto LLC,Automatic,Rear-Wheel Drive,Diesel,3.7,58 reviews,"Manassas, VA (52 mi.)","61,464 mi."
2019 RAM 2500 Tradesman Crew Cab 4x2 8' Box,"$27,163",CarGet Motors,Automatic,Rear-Wheel Drive,Diesel,4.2,10 reviews,"Woodbridge, VA (53 mi.)","107,543 mi."
2018 Mercedes-Benz Sprinter 2500 Standard Roof,"$19,995",Autos Direct of Manassas,Automatic,Rear-Wheel Drive,Diesel,3.7,23 reviews,"Manassas, VA (54 mi.)","72,295 mi."
2019 Mercedes-Benz Sprinter 2500 F 24V DIESEL,"$28,495",Carmart,Automatic,Rear-Wheel Drive,Diesel,3.1,31 reviews,"Manassas, VA (54 mi.)","40,266 mi."
2019 Mercedes-Benz Sprinter 3500 SPRINTER 2500!!!!!! DIESEL!!!!!!!!!!!!,"$25,995",Carmart,Automatic,Rear-Wheel Drive,Diesel,3.1,31 reviews,"Manassas, VA (54 mi.)","102,949 mi."
2019 Mercedes-Benz Sprinter 2500,"$17,995",Autos Direct of Manassas,Automatic,Rear-Wheel Drive,Diesel,3.7,23 reviews,"Manassas, VA (54 mi.)","148,532 mi."
2018 Mercedes-Benz Sprinter 2500 Standard Roof,"$27,945",Arlington Motors of Woodbridge,Automatic,Rear-Wheel Drive,Diesel,0,1 review,"Woodbridge, VA (55 mi.)","51,828 mi."
2013 Mercedes-Benz Sprinter High Roof,"$21,995",Guarantee Auto Maxx,Automatic,Rear-Wheel Drive,Diesel,3.1,32 reviews,"STAFFORD, VA (63 mi.)","175,939 mi."
