Car Name,Price,Dealer Name,Transmission Type,Drivetrain,Fuel Type,Rating,Reviews,Location,Mileage
2019 Honda Accord Hybrid Touring,"$23,998",Williams Used Cars & Trucks,CVT,Front-Wheel Drive,Hybrid,0,82 reviews,"Elkton, MD (54 mi.)","67,383 mi."
2021 Honda Insight Touring,"$19,995",Carmart,CVT,Front-Wheel Drive,Hybrid,3.1,31 reviews,"Manassas, VA (54 mi.)","81,591 mi."
2022 Toyota Sienna XSE 7 Passenger,"$43,755",Miller Toyota,CVT,Front-Wheel Drive,Hybrid,4.6,831 reviews,"Manassas, VA (55 mi.)","51,549 mi."
2023 Honda CR-V Sport,"$33,987",Morgan Automotive Inc.,CVT,Front-Wheel Drive,Hybrid,5,"1,000 reviews","Manheim, PA (65 mi.)","6,888 mi."
2019 Honda Accord Hybrid EX,"$18,314","L. B. Smith Ford Lincoln, Inc.",CVT,Front-Wheel Drive,Hybrid,5,"2,653 reviews","Lemoyne, PA (71 mi.)","110,151 mi."
2024 Honda Accord Hybrid Base,"$31,797",Faulkner INFINITI of Mechanicsburg,CVT,Front-Wheel Drive,Hybrid,4.7,58 reviews,"Mechanicsburg, PA (72 mi.)","13,693 mi."
2017 Ford Fusion Hybrid SE,"$16,295",Hoffman Ford,CVT,Front-Wheel Drive,Hybrid,4.7,574 reviews,"Harrisburg, PA (75 mi.)","54,195 mi."
2018 Ford Fusion Hybrid SE,"$16,995",Hoffman Ford,CVT,Front-Wheel Drive,Hybrid,4.7,574 reviews,"Harrisburg, PA (75 mi.)","71,381 mi."
2021 Ford Bronco Outer Banks,"$41,212",Al Packer Ford,CVT,Front-Wheel Drive,Hybrid,4.2,"2,172 reviews","Baltimore, MD (15 mi.)","25,430 mi."
2018 Toyota Camry Hybrid LE,"$20,300",Safford Brown Toyota Glen Burnie,CVT,Front-Wheel Drive,Hybrid,4.8,"2,764 reviews","Glen Burnie, MD (6 mi.)","72,040 mi."
2022 Toyota Sienna LE,"$38,500",Sport Honda,CVT,Front-Wheel Drive,Hybrid,4.9,594 reviews,"Silver Spring, MD (19 mi.)","46,170 mi."
2022 Toyota Camry Hybrid XLE,"$26,000",Ourisman Toyota 40,CVT,Front-Wheel Drive,Hybrid,4.6,430 reviews,"Edgewood, MD (23 mi.)","72,328 mi."
2019 Toyota Prius Prime Premium,"$28,995",Jones Used Cars,CVT,Front-Wheel Drive,Hybrid,3.2,223 reviews,"Bel Air, MD (25 mi.)","18,975 mi."
2024 Toyota Camry Hybrid LE,"$29,985",Jones Used Cars,CVT,Front-Wheel Drive,Hybrid,3.2,223 reviews,"Bel Air, MD (25 mi.)","6,311 mi."
2023 Honda Accord Sport 1.5T,"$27,499",King Kia,CVT,Front-Wheel Drive,Hybrid,4.6,187 reviews,"Gaithersburg, MD (30 mi.)","37,309 mi."
2024 Honda Accord Hybrid EX-L,"$33,981",Pohanka Acura,CVT,Front-Wheel Drive,Hybrid,4.7,"1,743 reviews","Chantilly, VA (47 mi.)",470 mi.
2016 Ford Fusion SE Hybrid,"$10,981",Honda of Chantilly,CVT,Front-Wheel Drive,Hybrid,4.3,702 reviews,"Chantilly, VA (48 mi.)","108,042 mi."
2021 Toyota Camry Hybrid XSE,"$30,000",Jerry's Leesburg Chevrolet,CVT,Front-Wheel Drive,Hybrid,0,162 reviews,"Leesburg, VA (48 mi.)","26,802 mi."
2014 Toyota Prius v Two,"$7,490",Alternative Motor Group,CVT,Front-Wheel Drive,Hybrid,0,3 reviews,"Chantilly, VA (50 mi.)","187,377 mi."
2012 Toyota Camry Hybrid XLE,"$10,500",Miller Toyota,CVT,Front-Wheel Drive,Hybrid,4.6,831 reviews,"Manassas, VA (55 mi.)","152,242 mi."
2011 Ford Fusion Hybrid Base,"$7,950",Car Logic of Wrightsville,CVT,Front-Wheel Drive,Hybrid,4,29 reviews,"Wrightsville, PA (55 mi.)","153,057 mi."
2009 Toyota Camry Hybrid Base,"$8,800",Car Logic of Wrightsville,CVT,Front-Wheel Drive,Hybrid,4,29 reviews,"Wrightsville, PA (55 mi.)","121,789 mi."
2015 Toyota Prius v Three,"$11,995",Zoom Auto,CVT,Front-Wheel Drive,Hybrid,0,46 reviews,"Dumfries, VA (58 mi.)","114,125 mi."
2020 Toyota Camry Hybrid XLE,"$29,999","Lancaster County Motors, Inc.",CVT,Front-Wheel Drive,Hybrid,4.8,912 reviews,"East Petersburg, PA (62 mi.)","17,480 mi."
2017 Ford Fusion Hybrid SE,"$9,850",Mega Auto Outlet,CVT,Front-Wheel Drive,Hybrid,1.1,68 reviews,"Stafford Virginia, VA (65 mi.)","101,324 mi."
2023 Toyota Sienna XLE 8 Passenger,"$46,500",Sheehy Toyota of Stafford,CVT,Front-Wheel Drive,Hybrid,4.1,"1,443 reviews","Stafford, VA (67 mi.)","29,663 mi."
2020 Ford Fusion Energi Titanium,"$17,700",Parsons Ford Lincoln,CVT,Front-Wheel Drive,Hybrid,4.2,516 reviews,"Martinsburg, WV (69 mi.)","87,244 mi."
2019 Ford Fusion Hybrid SE,"$16,990","L. B. Smith Ford Lincoln, Inc.",CVT,Front-Wheel Drive,Hybrid,5,"2,653 reviews","Lemoyne, PA (71 mi.)","47,014 mi."
2021 Toyota Camry Hybrid XLE,"$29,990",Del Toyota,CVT,Front-Wheel Drive,Hybrid,4.7,"6,647 reviews","Thorndale, PA (72 mi.)","26,705 mi."
2021 Ford Bronco Outer Banks,"$41,212",Al Packer Ford,CVT,Front-Wheel Drive,Hybrid,4.2,"2,172 reviews","Baltimore, MD (15 mi.)","25,430 mi."
2022 Toyota Highlander Hybrid XLE,"$36,997",Anderson of Hunt Valley,CVT,Front-Wheel Drive,Hybrid,4.8,204 reviews,"Cockeysville, MD (16 mi.)","68,658 mi."
2014 Toyota Prius Five,"$12,988",Bill Kidd's Toyota Volvo Cars,CVT,Front-Wheel Drive,Hybrid,3.2,704 reviews,"Cockeysville, MD (17 mi.)","101,726 mi."
2023 Toyota Camry SE,"$28,745",Herb Gordon Subaru,CVT,Front-Wheel Drive,Hybrid,5,"1,544 reviews","Silver Spring, MD (19 mi.)","25,936 mi."
2022 Toyota Sienna LE,"$40,955",Koons Annapolis Toyota,CVT,Front-Wheel Drive,Hybrid,4.5,"1,146 reviews","Annapolis, MD (21 mi.)","41,038 mi."
2015 Toyota Prius Three,"$17,000",Koons Annapolis Toyota,CVT,Front-Wheel Drive,Hybrid,4.5,"1,146 reviews","Annapolis, MD (21 mi.)","71,910 mi."
2023 Toyota Sienna LE,"$41,000",Koons Annapolis Toyota,CVT,Front-Wheel Drive,Hybrid,4.5,"1,146 reviews","Annapolis, MD (21 mi.)","39,808 mi."
2022 Toyota Sienna XLE,"$44,000",Koons Annapolis Toyota,CVT,Front-Wheel Drive,Hybrid,4.5,"1,146 reviews","Annapolis, MD (21 mi.)","57,842 mi."
2024 Toyota Camry Hybrid SE,"$30,995",Jones Preowned Superstore,CVT,Front-Wheel Drive,Hybrid,3.2,733 reviews,"Fallston, MD (25 mi.)","4,951 mi."
2023 Toyota Prius LE,"$28,990",DARCARS 355 Toyota Rockville,CVT,Front-Wheel Drive,Hybrid,2.7,287 reviews,"Rockville, MD (28 mi.)","37,903 mi."
